lottery_type,window,combination_size,strategy_ids,ticket_budget_m,rows_per_draw,ticket_budget_ratio_vs_min,ticket_budget_ratio_vs_median,sample_size_rows,cross_strategy_ticket_pair_count,any_number_overlap_pair_rate,mean_number_overlap_fraction,random_pair_overlap_fraction,exact_duplicate_ticket_pair_rate,delta_vs_max_constituent_hit1_rate,delta_vs_max_constituent_hit2_rate,delta_vs_max_constituent_hit3_rate,budget_inflation_flag,high_overlap_vs_random_flag
BIG_LOTTO,recent_50,2,biglotto_deviation_2bet|fourier30_markov30_biglotto,2,2.000000,2.000000,0.666667,100,50,1.000000000000,0.406666666667,0.122448979592,0.020000000000,0.140000000000,0.040000000000,0.020000000000,N,Y
BIG_LOTTO,recent_300,2,biglotto_deviation_2bet|fourier30_markov30_biglotto,2,2.000000,2.000000,0.666667,600,300,1.000000000000,0.452222222222,0.122448979592,0.003333333333,0.143333333334,0.053333333333,0.013333333333,N,Y
BIG_LOTTO,recent_750,2,biglotto_deviation_2bet|fourier30_markov30_biglotto,2,2.000000,2.000000,0.666667,1500,750,0.998666666667,0.457555555556,0.122448979592,0.001333333333,0.153333333333,0.061333333333,0.009333333333,N,Y
BIG_LOTTO,recent_50,2,biglotto_deviation_2bet|markov_2bet_biglotto,2,2.000000,2.000000,0.666667,100,50,0.980000000000,0.330000000000,0.122448979592,0.000000000000,0.200000000000,0.040000000000,0.000000000000,N,Y
BIG_LOTTO,recent_300,2,biglotto_deviation_2bet|markov_2bet_biglotto,2,2.000000,2.000000,0.666667,600,300,0.960000000000,0.374444444444,0.122448979592,0.000000000000,0.186666666667,0.066666666666,0.013333333333,N,Y
BIG_LOTTO,recent_750,2,biglotto_deviation_2bet|markov_2bet_biglotto,2,2.000000,2.000000,0.666667,1500,750,0.944000000000,0.360000000000,0.122448979592,0.000000000000,0.198666666666,0.081333333333,0.010666666666,N,Y
BIG_LOTTO,recent_50,2,biglotto_deviation_2bet|markov_single_biglotto,2,2.000000,2.000000,0.666667,100,50,0.980000000000,0.330000000000,0.122448979592,0.000000000000,0.200000000000,0.040000000000,0.000000000000,N,Y
BIG_LOTTO,recent_300,2,biglotto_deviation_2bet|markov_single_biglotto,2,2.000000,2.000000,0.666667,600,300,0.960000000000,0.374444444444,0.122448979592,0.000000000000,0.186666666667,0.066666666666,0.013333333333,N,Y
BIG_LOTTO,recent_750,2,biglotto_deviation_2bet|markov_single_biglotto,2,2.000000,2.000000,0.666667,1500,750,0.944000000000,0.360000000000,0.122448979592,0.000000000000,0.198666666666,0.081333333333,0.010666666666,N,Y
BIG_LOTTO,recent_50,2,biglotto_deviation_2bet|ts3_regime_3bet,2,2.000000,2.000000,0.666667,100,50,0.640000000000,0.146666666667,0.122448979592,0.000000000000,0.260000000000,0.040000000000,0.020000000000,N,Y
BIG_LOTTO,recent_300,2,biglotto_deviation_2bet|ts3_regime_3bet,2,2.000000,2.000000,0.666667,600,300,0.600000000000,0.131111111111,0.122448979592,0.000000000000,0.246666666667,0.096666666666,0.016666666666,N,Y
BIG_LOTTO,recent_750,2,biglotto_deviation_2bet|ts3_regime_3bet,2,2.000000,2.000000,0.666667,1500,750,0.601333333333,0.132000000000,0.122448979592,0.000000000000,0.241333333333,0.105333333333,0.021333333333,N,Y
BIG_LOTTO,recent_50,2,biglotto_echo_aware_3bet|biglotto_triple_strike,4,4.000000,4.000000,1.333333,200,150,0.473333333333,0.094444444444,0.122448979592,0.000000000000,0.020000000000,0.160000000000,0.060000000000,Y,N
BIG_LOTTO,recent_300,2,biglotto_echo_aware_3bet|biglotto_triple_strike,4,4.000000,4.000000,1.333333,1200,900,0.470000000000,0.101851851852,0.122448979592,0.000000000000,0.040000000000,0.096666666667,0.026666666667,Y,N
BIG_LOTTO,recent_750,2,biglotto_echo_aware_3bet|biglotto_triple_strike,4,4.000000,4.000000,1.333333,3000,2250,0.457333333333,0.098074074074,0.122448979592,0.000000000000,0.028000000000,0.085333333333,0.021333333334,Y,N
BIG_LOTTO,recent_50,2,biglotto_echo_aware_3bet|biglotto_ts3_markov_4bet_w30,7,7.000000,7.000000,2.333333,350,600,0.486666666667,0.121388888889,0.122448979592,0.000000000000,0.000000000000,0.240000000000,0.060000000000,Y,N
BIG_LOTTO,recent_300,2,biglotto_echo_aware_3bet|biglotto_ts3_markov_4bet_w30,7,7.000000,7.000000,2.333333,2100,3600,0.488333333333,0.124953703704,0.122448979592,0.000000000000,0.010000000000,0.203333333334,0.083333333333,Y,Y
BIG_LOTTO,recent_750,2,biglotto_echo_aware_3bet|biglotto_ts3_markov_4bet_w30,7,7.000000,7.000000,2.333333,5250,9000,0.482777777778,0.125129629630,0.122448979592,0.000000000000,0.010666666667,0.204000000000,0.062666666666,Y,Y
BIG_LOTTO,recent_50,2,biglotto_echo_aware_3bet|cold_complement_biglotto,4,4.000000,4.000000,1.333333,200,150,0.493333333333,0.128888888889,0.122448979592,0.000000000000,0.000000000000,0.120000000000,0.040000000000,Y,Y
BIG_LOTTO,recent_300,2,biglotto_echo_aware_3bet|cold_complement_biglotto,4,4.000000,4.000000,1.333333,1200,900,0.496666666667,0.137222222222,0.122448979592,0.000000000000,0.030000000000,0.103333333333,0.023333333334,Y,Y
BIG_LOTTO,recent_750,2,biglotto_echo_aware_3bet|cold_complement_biglotto,4,4.000000,4.000000,1.333333,3000,2250,0.469333333333,0.132296296296,0.122448979592,0.000000000000,0.024000000000,0.100000000000,0.016000000000,Y,Y
BIG_LOTTO,recent_50,2,biglotto_echo_aware_3bet|coldpool15_biglotto,4,4.000000,4.000000,1.333333,200,150,0.493333333333,0.128888888889,0.122448979592,0.000000000000,0.000000000000,0.120000000000,0.040000000000,Y,Y
BIG_LOTTO,recent_300,2,biglotto_echo_aware_3bet|coldpool15_biglotto,4,4.000000,4.000000,1.333333,1200,900,0.496666666667,0.137222222222,0.122448979592,0.000000000000,0.030000000000,0.103333333333,0.023333333334,Y,Y
